seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec),,,
0,10.06233863,5.744768982,30,9.960900879,-3.057116699,-1.382910156,4.560852051,8.598327637,-6.932067871,,,
1,9.26671185,5.748386938,30,8.461950684,-3.918444824,1.624560547,23.84033203,47.72338867,7.637023926,,,
2,8.751894525,5.748386938,30,8.580383301,-3.587670898,3.480004883,5.842590332,-8.213806152,-7.562255859,,,
3,8.6114898,5.741153783,30,8.165869141,-5.537023926,1.64609375,10.2432251,13.23394775,-13.53302002,,,
4,8.33068035,5.726720512,30,8.116223145,-2.954833984,3.797619629,38.29193115,4.582214355,-1.100158691,,,
5,8.377481925,5.719520362,30,8.388378906,-3.875378418,3.482995605,-24.98321533,-108.5418701,-43.20526123,,,
6,8.307279563,5.697985653,30,8.70958252,-3.674401855,2.854943848,-0.886535645,-2.777099609,-13.68255615,,,
7,7.535053575,5.697985653,30,9.139050293,-4.072766113,2.461364746,6.611633301,-10.9588623,-5.564880371,,,
8,8.283878775,5.701567935,30,8.998486328,-4.155310059,1.458276367,-1.954650879,13.09509277,0.395202637,,,
9,9.26671185,5.683683796,30,8.229870605,-4.393969727,2.460168457,10.88409424,11.48223877,-9.70916748,,,
10,7.95626775,5.662312605,30,9.012243652,-4.010559082,2.905786133,6.33392334,3.984069824,-3.086853027,,,
11,8.2370772,5.651663606,30,8.189196777,-3.573913574,3.592456055,5.671691895,-6.109619141,-2.734375,,,
12,8.822096888,5.641038929,30,8.917736816,-3.907080078,3.368151855,3.086853027,-7.124328613,-5.83190918,,,
13,14.71909534,5.641038929,30,9.011047363,-3.862219238,2.965002441,12.059021,-7.679748535,-5.97076416,,,
14,11.55998903,5.701567935,30,8.880651855,-4.952636719,2.703015137,0.149536133,8.876037598,-3.204345703,,,
15,23.54119223,5.795672172,30,8.598925781,-3.593054199,2.580395508,8.042907715,-30.36651611,-11.19384766,,,
16,30.11681351,5.906596873,30,8.64498291,-3.376525879,2.043261719,14.55841064,-2.809143066,-3.033447266,,,
17,25.92807255,6.06621509,30,8.356079102,-3.734216309,1.571325684,-12.96691895,0.042724609,7.284545898,,,
18,9.711326813,6.155814775,30,8.598327637,-4.65057373,0.906188965,2.178955078,-3.984069824,-5.810546875,,,
19,13.64265911,6.175501695,30,8.647973633,-3.434545898,1.128100586,15.46630859,0.512695313,-3.289794922,,,
20,26.3960883,6.219077929,30,8.796911621,-3.620568848,1.754956055,12.25128174,-6.878662109,-5.596923828,,,
21,29.13398044,6.303290348,30,9.038562012,-3.672607422,1.766320801,6.483459473,-1.484680176,-4.379272461,,,
22,23.16677963,6.413563135,30,10.69063721,-2.741894531,0.479711914,54.14276123,132.1258545,33.80584717,,,
23,7.043637038,6.509305922,30,7.651464844,-4.289294434,4.26895752,-2.627563477,-6.462097168,-16.67327881,,,
24,6.996835463,6.521918312,30,7.763317871,-4.2109375,3.786254883,16.60919189,-11.43951416,-0.86517334,,,
25,16.52095598,6.50091367,30,8.186206055,-4.008764648,4.004577637,10.7131958,-11.71722412,-4.347229004,,,
26,25.20264814,6.551459623,30,8.208935547,-3.757543945,3.852648926,6.376647949,-10.25390625,-5.895996094,,,
27,13.6660599,6.602470024,30,7.847058105,-4.563842773,4.359277344,-5.116271973,8.470153809,-5.116271973,,,
28,14.67229376,6.649641209,30,8.235253906,-3.692944336,2.172460938,34.21173096,18.19000244,-5.46875,,,
29,28.94677414,6.662574867,30,8.414099121,-3.563745117,3.073266602,17.69866943,-5.297851563,-5.618286133,,,
30,30.37422218,6.732056095,30,7.466040039,-2.891430664,4.813269043,17.36755371,7.188415527,-6.814575195,,,
31,15.39771818,6.833431661,30,6.680078125,-5.011254883,6.538317871,9.196472168,-26.4465332,-9.078979492,,,
32,29.85940485,6.887033004,30,7.385290527,-3.398059082,4.9765625,13.27667236,-9.698486328,-11.49291992,,,
33,27.40232216,6.959268391,30,7.924816895,-3.149230957,4.523168945,5.319213867,-6.269836426,-10.2645874,,,
34,25.2728505,7.0600415,30,8.348303223,-3.118725586,4.06439209,4.24041748,-10.18981934,-5.062866211,,,
35,32.36328911,7.125055296,30,7.939172363,-4.003979492,3.758740234,-6.184387207,-10.85205078,-8.534240723,,,
36,6.435216563,7.171920319,30,7.506713867,-4.15949707,3.495556641,-4.635620117,9.111022949,-5.554199219,,,
37,10.08573941,7.14375845,30,8.525952148,-4.421484375,3.580493164,6.109619141,-11.06567383,-12.34741211,,,
38,18.36961819,7.120388411,30,8.266357422,-3.795825195,3.085229492,-6.814575195,-5.372619629,0.480651855,,,
39,22.62856151,7.120388411,30,8.564233398,-4.385595703,2.42487793,7.893371582,-13.6932373,-6.163024902,,,
40,22.23074813,7.125055296,30,8.614477539,-4.61887207,2.433850098,15.81878662,-13.61846924,-6.29119873,,,
41,21.9031371,7.120388411,30,8.029492188,-5.311523438,2.363867188,9.698486328,11.47155762,4.667663574,,,
42,26.5832946,7.14375845,30,4.935290527,-4.579394531,6.312219238,6.045532227,-36.47613525,-18.56384277,,,
43,26.93430641,7.200211276,30,6.881054688,-4.64519043,6.011950684,12.74261475,-5.500793457,-2.563476563,,,
44,24.61762845,7.271507324,30,7.110144043,-4.554272461,5.78046875,-17.01507568,-11.6317749,-6.33392334,,,
45,32.15268203,7.314677871,30,7.475610352,-4.23067627,4.851550293,1.420593262,-8.737182617,-7.594299316,,,
46,27.65973083,7.338789783,30,6.287695313,-3.981848145,6.012548828,14.20593262,25.68817139,-13.05236816,,,
47,29.99980958,7.387290166,30,5.831311035,-4.050036621,7.149621582,10.28594971,17.59185791,-5.661010742,,,
48,29.29778595,7.406794067,30,6.168664551,-4.285705566,5.904882813,6.227111816,-93.58825684,-7.33795166,,,
49,28.22134973,7.426357524,30,5.11114502,-4.66373291,7.103564453,2.638244629,-30.15289307,-4.069519043,,,
50,29.48499225,7.470593998,30,5.462255859,-4.684069824,6.44440918,6.451416016,-6.494140625,-5.938720703,,,
51,30.3274206,7.505210559,30,5.766113281,-4.102075195,5.931799316,13.72528076,7.060241699,-16.22467041,,,
52,31.54426155,7.564984641,30,6.933691406,-4.048242188,5.322290039,-1.91192627,-32.05413818,-4.988098145,,,
53,29.18078201,7.569990538,30,6.570019531,-4.37722168,5.997595215,-2.05078125,-64.00146484,5.543518066,,,
54,28.68936548,7.585031141,30,6.464746094,-4.092504883,5.351599121,5.78918457,-15.58380127,-21.69342041,,,
55,32.97170959,7.625307966,30,7.670007324,-4.506420898,4.190002441,6.173706055,-7.348632813,-6.024169922,,,
56,32.17608281,7.640475207,30,8.09708252,-4.19119873,3.555371094,-7.957458496,-22.08862305,-6.568908691,,,
57,28.29155209,7.65567717,30,8.502026367,-3.703710938,3.322094727,50.5645752,-10.45684814,-7.273864746,,,
58,31.19324974,7.681091152,30,8.150915527,-4.288098145,3.915454102,6.932067871,-10.49957275,-7.124328613,,,
59,29.74240091,7.706602174,30,7.223791504,-4.442419434,5.232568359,1.676940918,7.241821289,-0.480651855,,,
60,31.56766234,7.721955521,30,6.929504395,-3.740795898,5.050732422,32.3638916,-12.62512207,-12.25128174,,,
61,34.42255841,7.752767739,30,8.506811523,-3.1390625,6.979748535,13.60778809,11.6104126,27.04467773,,,
62,24.87503711,7.830417617,30,6.971374512,-1.765124512,6.678283691,9.719848633,-1.73034668,-6.483459473,,,
63,23.5879938,7.940629804,30,6.887634277,-0.266772461,7.264465332,31.38122559,2.937316895,-9.292602539,,,
64,24.07941034,8.047246691,30,6.471923828,-1.505529785,8.545690918,-45.43762207,-23.31695557,-16.29943848,,,
65,31.98887651,8.122851496,30,7.023413086,-1.714880371,6.027502441,10.07232666,-5.212402344,-23.81896973,,,
66,41.30238994,8.17735102,30,6.328967285,-3.691149902,6.760827637,-11.35406494,-1.089477539,-6.504821777,,,
67,38.84530725,8.210250689,30,6.203356934,-3.296374512,6.56463623,-4.325866699,18.37158203,-5.244445801,,,
68,38.49429544,8.23226754,30,7.326074219,-2.930310059,5.147631836,4.154968262,-13.00964355,-1.174926758,,,
69,32.10588045,8.259883169,30,5.774487305,-3.518286133,6.683666992,8.619689941,-3.759765625,-19.59991455,,,
70,35.26498676,8.270958924,30,7.746569824,-3.686962891,5.315710449,-15.45562744,23.85101318,7.070922852,,,
71,31.84847179,8.282051575,30,8.278320313,-3.488977051,4.003979492,24.86572266,-26.41448975,-12.86010742,,,
72,33.43972534,8.315431172,30,7.99420166,-4.30065918,3.889135742,-17.90161133,20.00579834,-40.51361084,,,
73,34.79697101,8.337769197,30,8.174243164,-4.157702637,3.997998047,-12.95623779,14.5904541,4.624938965,,,
