seconds,temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec),,,force (gF),accel_z (m/s^2)
0,5.744768982,30,9.960900879,-3.057116699,4.560852051,8.598327637,-6.932067871,,,9.26671185,1.624560547
1,5.748386938,30,8.461950684,-3.918444824,23.84033203,47.72338867,7.637023926,,,8.377481925,3.482995605
2,5.748386938,30,8.580383301,-3.587670898,5.842590332,-8.213806152,-7.562255859,,,8.283878775,2.461364746
3,5.741153783,30,8.165869141,-5.537023926,10.2432251,13.23394775,-13.53302002,,,8.2370772,2.905786133
4,5.726720512,30,8.116223145,-2.954833984,38.29193115,4.582214355,-1.100158691,,,11.55998903,2.965002441
5,5.719520362,30,8.388378906,-3.875378418,-24.98321533,-108.5418701,-43.20526123,,,25.92807255,2.043261719
6,5.697985653,30,8.70958252,-3.674401855,-0.886535645,-2.777099609,-13.68255615,,,13.64265911,1.128100586
7,5.697985653,30,9.139050293,-4.072766113,6.611633301,-10.9588623,-5.564880371,,,23.16677963,1.766320801
8,5.701567935,30,8.998486328,-4.155310059,-1.954650879,13.09509277,0.395202637,,,16.52095598,3.852648926
9,5.683683796,30,8.229870605,-4.393969727,10.88409424,11.48223877,-9.70916748,,,14.67229376,3.073266602
10,5.662312605,30,9.012243652,-4.010559082,6.33392334,3.984069824,-3.086853027,,,29.85940485,4.9765625
11,5.651663606,30,8.189196777,-3.573913574,5.671691895,-6.109619141,-2.734375,,,27.40232216,4.06439209
12,5.641038929,30,8.917736816,-3.907080078,3.086853027,-7.124328613,-5.83190918,,,10.08573941,3.495556641
13,5.641038929,30,9.011047363,-3.862219238,12.059021,-7.679748535,-5.97076416,,,22.23074813,2.42487793
14,5.701567935,30,8.880651855,-4.952636719,0.149536133,8.876037598,-3.204345703,,,26.5832946,6.011950684
15,5.795672172,30,8.598925781,-3.593054199,8.042907715,-30.36651611,-11.19384766,,,29.99980958,6.012548828
16,5.906596873,30,8.64498291,-3.376525879,14.55841064,-2.809143066,-3.033447266,,,29.29778595,6.44440918
17,6.06621509,30,8.356079102,-3.734216309,-12.96691895,0.042724609,7.284545898,,,30.3274206,5.931799316
18,6.155814775,30,8.598327637,-4.65057373,2.178955078,-3.984069824,-5.810546875,,,32.17608281,4.190002441
19,6.175501695,30,8.647973633,-3.434545898,15.46630859,0.512695313,-3.289794922,,,29.74240091,3.915454102
20,6.219077929,30,8.796911621,-3.620568848,12.25128174,-6.878662109,-5.596923828,,,31.56766234,6.678283691
21,6.303290348,30,9.038562012,-3.672607422,6.483459473,-1.484680176,-4.379272461,,,24.07941034,7.264465332
