seconds,force (gF),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec),temp (C),,
0,11.50148706,2.665930176,3.223699951,-8.871081543,-4.737091064,-21.11129761,9.378051758,4.404506771,,
1,7.909466175,1.223205566,4.214825439,-8.6159729,5.084228516,0.352478027,0.608825684,4.467396099,,
2,17.73779693,1.909277344,2.913562012,-9.069665527,14.56375122,-11.28997803,1.078796387,4.530023331,,
3,9.723027206,1.227392578,4.777081299,-8.490661621,19.42901611,-3.482055664,-6.33392334,4.613092321,,
4,8.131773656,2.263677979,1.733422852,-9.291278076,-3.588867188,-2.771759033,-0.101470947,4.689652772,,
5,8.272178381,-0.81317749,2.649780273,-8.82322998,2.18963623,-16.39022827,-5.410003662,4.783637112,,
6,8.482785469,-0.221612549,2.894122314,-9.237445068,0.566101074,9.02557373,-6.51550293,4.900772873,,
7,17.38678511,1.026116943,2.571124268,-9.305334473,4.144287109,-21.68807983,0.742340088,4.974243644,,
8,6.634123256,-1.417602539,0.265576172,-9.800598145,20.67871094,-15.40756226,-17.72537231,5.077165427,,
9,5.815095694,-0.372344971,1.219018555,-9.400140381,3.503417969,-4.470062256,-7.241821289,5.168137578,,
10,7.616956331,-2.04206543,1.978363037,-9.020318604,-14.65988159,-12.92953491,-2.547454834,5.2435034,,
11,5.662990575,-0.929815674,3.907080078,-8.612384033,2.680969238,-6.147003174,-4.368591309,5.335060388,,
12,5.393881519,-0.553283691,2.219415283,-9.352288818,2.878570557,-6.392669678,-5.313873291,5.404962678,,
13,9.056104763,-1.99720459,1.151428223,-9.20335083,-0.785064697,-10.59570313,3.711700439,5.476038943,,
14,7.242543731,-1.323095703,2.394073486,-9.114825439,0.603485107,-4.753112793,-7.439422607,5.551759264,,
15,15.57322408,-1.958325195,1.01116333,-9.262866211,-10.4675293,-23.89373779,9.511566162,5.626944035,,
16,5.791694906,-2.602526855,1.617382813,-9.085217285,1.522064209,-8.710479736,4.747772217,5.701634858,,
17,9.687926025,-2.528656006,0.68248291,-9.714764404,13.58642578,-9.901428223,-2.077484131,5.788435147,,
18,21.5287245,-2.799316406,2.898309326,-9.338531494,23.22616577,-4.229736328,-8.625030518,5.860098391,,
19,10.44845162,-2.784362793,1.442126465,-9.543096924,38.23318481,15.89889526,-0.891876221,5.936630632,,
20,10.50695359,-1.433453369,2.651873779,-9.421075439,-9.148406982,-11.88812256,-9.896087646,6.025848095,,
21,7.780761844,-2.191601563,1.79263916,-9.323876953,7.973480225,-32.76977539,-4.03213501,6.085596816,,
22,8.7986961,-2.296575928,3.634625244,-8.887231445,14.55841064,-23.16741943,-8.512878418,6.159783631,,
23,6.423516169,-2.266369629,2.604022217,-8.802893066,21.88568115,-16.99905396,-8.347320557,6.219115831,,
24,7.254244125,-2.244238281,2.807989502,-8.991906738,2.157592773,-4.940032959,-3.006744385,6.309376152,,
