seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec)
1,16.26354731,4.803789415,30,-4.987329102,2.38001709,-8.676086426,18.25408936,-9.912109375,-5.863952637
2,6.3650142,4.850462875,30,-4.550683594,2.185620117,-8.085717773,6.01348877,-8.256530762,-8.950805664
3,10.99837013,4.89770903,30,-4.776782227,2.107263184,-8.405126953,-3.984069824,-27.27966309,-2.339172363
4,7.95626775,4.930526618,30,-4.353894043,2.230480957,-8.32019043,4.197692871,-7.231140137,-6.622314453
5,8.026470113,4.966642838,30,-4.433447266,2.142553711,-8.365649414,6.825256348,-5.490112305,-5.992126465
6,2.34007875,5.003090918,30,-4.440625,2.05402832,-8.371630859,5.671691895,-6.398010254,-5.543518066
7,5.171574038,5.055299727,30,-4.421484375,1.963708496,-8.451184082,4.080200195,-7.637023926,-1.174926758
8,9.032703975,5.086328298,30,-4.782763672,1.995410156,-8.140148926,5.575561523,-6.066894531,-4.528808594
9,11.81739769,5.1019315,30,-4.979553223,2.016345215,-8.149121094,6.408691406,-7.070922852,-6.056213379
10,17.76119771,5.142779222,30,-4.748071289,1.629345703,-8.353088379,5.490112305,-6.643676758,-6.579589844
11,25.50685838,5.184033713,30,-2.885449219,1.624560547,-7.416992188,0.224304199,-9.196472168,28.98864746
12,28.85317099,5.245068857,30,-4.973571777,1.7609375,-8.947045898,19.09790039,2.574157715,-18.68133545
13,20.00767331,5.343258011,30,-4.607507324,1.545007324,-8.115625,-3.546142578,-11.31134033,-5.319213867
14,23.7752001,5.430190495,30,-4.909570313,1.705908203,-8.240039063,3.482055664,1.057434082,-8.950805664
15,32.24628518,5.494816484,30,-4.534533691,1.412219238,-8.04564209,6.045532227,-12.62512207,-5.500793457
16,33.27591983,5.53957662,30,-4.80369873,1.400256348,-7.925415039,1.014709473,-9.217834473,-7.733154297
17,34.21195133,5.595278376,30,-4.645788574,1.742993164,-8.17244873,2.018737793,-5.746459961,-6.494140625
18,30.8890395,5.623385035,30,-4.806091309,1.663439941,-8.302246094,5.10559082,-6.237792969,-5.821228027
19,32.97170959,5.68011514,30,-4.667321777,1.62635498,-8.368640137,5.255126953,-7.252502441,-5.404663086
20,32.55049541,5.719520362,30,-4.72713623,1.680786133,-8.381799316,5.32989502,-6.568908691,-5.628967285
21,32.7611025,5.766518138,30,-5.348608398,1.759741211,-7.862609863,9.645080566,-18.019104,-12.00561523
22,35.87340724,5.795672172,30,-6.046044922,1.255505371,-7.539013672,5.703735352,-7.209777832,-5.361938477
23,36.57543086,5.825004523,30,-6.190795898,1.35300293,-7.181921387,5.810546875,-4.080200195,-4.64630127
24,31.825071,5.861922386,30,-6.04185791,1.535437012,-7.348205566,4.92401123,-7.241821289,-5.874633789
25,29.83600406,5.89912272,30,-6.024511719,1.513903809,-7.242932129,5.735778809,-6.259155273,-5.564880371
26,29.78920249,5.936607687,30,-5.843273926,1.478613281,-7.405627441,4.624938965,-4.026794434,-5.874633789
27,34.84377259,5.985767255,30,-5.747570801,1.698730469,-7.610791016,5.83190918,-7.316589355,-5.041503906
28,35.52239543,6.020087281,30,-5.849255371,1.583886719,-7.316503906,5.415344238,-6.622314453,-5.586242676
29,36.52862929,6.043098446,30,-5.558557129,1.732226563,-7.502526855,4.956054688,-6.184387207,-4.998779297
30,31.33365446,6.070078153,30,-5.566931152,1.674206543,-7.70111084,6.504821777,-6.312561035,-5.158996582
31,34.23535211,6.104978542,30,-5.617175293,1.629345703,-7.690942383,5.575561523,-6.323242188,-5.853271484
32,30.8890395,6.155814775,30,-5.790637207,1.724450684,-7.495349121,3.759765625,-7.647705078,-5.778503418
33,35.03097889,6.199225251,30,-5.605810547,1.722058105,-7.628137207,6.01348877,-6.195068359,-5.532836914
34,32.26968596,6.215101338,30,-5.944360352,0.904992676,-7.769897461,9.089660645,-8.480834961,-6.440734863
35,36.20101826,6.246999095,30,-5.44909668,2.262780762,-7.682568359,3.311157227,-6.355285645,-8.277893066
36,26.44288988,6.271050383,30,-5.16138916,1.81895752,-8.056408691,23.64807129,-1.495361328,-2.55279541
37,33.06531274,6.323540387,30,-4.538720703,1.541418457,-8.63840332,18.72406006,-7.70111084,-11.75994873
38,36.76263716,6.372456519,30,-5.222399902,2.680285645,-7.837487793,5.511474609,-3.396606445,-7.348632813
39,33.27591983,6.405316727,30,-4.146337891,2.107263184,-9.056506348,-2.680969238,-36.48681641,-10.33935547
40,31.87187258,6.446674769,30,-4.858129883,1.080847168,-8.531933594,4.956054688,-10.07232666,-2.435302734
41,32.45689226,6.488349256,30,-4.887438965,1.18671875,-7.877563477,-3.41796875,-10.92681885,-0.82244873
42,35.42879228,6.526128856,30,-5.006469727,0.72076416,-8.30045166,4.336547852,-6.536865234,-4.389953613
43,36.76263716,6.551459623,30,-5.209838867,0.93848877,-8.218505859,0.747680664,-5.928039551,-5.767822266
44,39.54733088,6.593935857,30,-5.092004395,0.519189453,-8.232861328,17.21801758,-8.000183105,-4.96673584
45,36.34142299,6.619577439,30,-5.209240723,0.556872559,-7.93737793,1.399230957,-7.669067383,-7.135009766
46,37.8156726,6.649641209,30,-4.875476074,0.320007324,-8.194580078,3.898620605,-7.904052734,-3.150939941
47,38.21348599,6.675538134,30,-5.367749023,0.677697754,-8.217907715,3.96270752,-6.451416016,-5.126953125
48,37.95607733,6.714606267,30,-5.271447754,0.721362305,-8.220898438,7.743835449,-5.404663086,-9.516906738
49,34.32895526,6.736426872,30,-5.18112793,0.702819824,-8.275927734,2.093505859,-4.731750488,3.204345703
