seconds,temp (C),motor (%),force (gF),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec)
1,4.803789415,30,10.99837013,-4.776782227,2.185620117,-8.405126953,6.01348877,-9.912109375,-5.863952637
2,4.850462875,30,7.95626775,-4.433447266,2.142553711,-8.365649414,5.671691895,-6.398010254,-5.992126465
3,4.89770903,30,9.032703975,-4.782763672,1.995410156,-8.149121094,5.575561523,-7.070922852,-4.528808594
4,4.930526618,30,25.50685838,-4.748071289,1.629345703,-8.353088379,5.490112305,-6.643676758,-6.579589844
5,4.966642838,30,23.7752001,-4.607507324,1.545007324,-8.115625,3.482055664,-11.31134033,-5.500793457
6,5.003090918,30,33.27591983,-4.80369873,1.663439941,-8.17244873,2.018737793,-6.237792969,-6.494140625
7,5.055299727,30,32.7611025,-4.72713623,1.680786133,-8.368640137,5.32989502,-7.252502441,-5.628967285
8,5.086328298,30,35.87340724,-6.046044922,1.35300293,-7.348205566,5.703735352,-7.209777832,-5.361938477
9,5.1019315,30,29.83600406,-5.843273926,1.513903809,-7.405627441,5.735778809,-6.259155273,-5.564880371
10,5.142779222,30,35.52239543,-5.566931152,1.674206543,-7.502526855,5.415344238,-6.312561035,-5.158996582
11,5.184033713,30,34.23535211,-5.617175293,1.722058105,-7.628137207,5.575561523,-6.323242188,-5.778503418
12,5.245068857,30,32.26968596,-5.44909668,1.81895752,-7.769897461,9.089660645,-6.355285645,-6.440734863
13,5.343258011,30,33.27591983,-4.538720703,2.107263184,-8.63840332,5.511474609,-7.70111084,-10.33935547
14,5.430190495,30,32.45689226,-4.887438965,1.080847168,-8.30045166,4.336547852,-10.07232666,-2.435302734
15,5.494816484,30,36.76263716,-5.209240723,0.556872559,-8.218505859,1.399230957,-7.669067383,-5.767822266
16,5.53957662,30,37.95607733,-5.271447754,0.677697754,-8.217907715,3.96270752,-6.451416016,-5.126953125
17,5.595278376,30,33.65033243,-5.898303223,0.702819824,-7.821936035,5.276489258,-9.634399414,-5.639648438
18,5.623385035,30,35.77980409,-7.779467773,0.641809082,-5.23137207,6.323242188,-11.10839844,-5.041503906
19,5.68011514,30,40.9981797,-7.686157227,0.339147949,-5.597436523,7.19909668,-7.572937012,-5.992126465
20,5.719520362,30,40.27275529,-8.018127441,0.098095703,-5.316308594,6.376647949,-8.416748047,-6.8359375
21,5.766518138,30,40.20255293,-7.99420166,0.169274902,-5.139257813,1.741027832,-3.984069824,-2.809143066
22,5.795672172,30,41.77040569,-8.126989746,0.410327148,-5.053723145,5.532836914,-8.331298828,-5.10559082
23,5.825004523,30,40.38975923,-7.963696289,0.225500488,-5.214624023,6.355285645,-6.558227539,-7.412719727
24,5.861922386,30,35.52239543,-8.350695801,-0.229089355,-4.571020508,6.312561035,-6.825256348,-5.863952637
25,5.89912272,30,41.79380648,-8.324975586,-0.215930176,-4.457373047,5.863952637,-6.269836426,-5.319213867
26,5.936607687,30,36.85624031,-8.600720215,-0.25480957,-4.467541504,7.113647461,-6.130981445,-8.769226074
