seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec)
0,61.9652853,8.193782047,30,7.783056641,0.888244629,4.490270996,38.56964111,11.86676025,-2.531433105
1,53.70480731,8.243301164,30,8.630627441,1.793835449,4.847363281,0.074768066,-9.367370605,-10.94818115
2,61.23986089,8.360175432,30,8.042053223,-0.966003418,5.702111816,16.19262695,0.427246094,-15.67993164
3,62.43330105,8.467542962,30,8.433837891,-1.089819336,5.313916016,4.710388184,-5.693054199,-4.870605469
4,62.97151916,8.541906008,30,8.015136719,-0.90559082,5.642895508,2.328491211,-6.088256836,-4.753112793
5,62.83111444,8.59961187,30,8.135961914,-0.773999023,5.669213867,5.479431152,-6.793212891,-5.436706543
6,63.72034436,8.651924557,30,6.564038086,-0.398364258,7.447497559,12.94555664,41.38946533,5.158996582
7,56.67670733,8.734016513,30,7.219604492,-0.45279541,6.497045898,10.62774658,-8.88671875,-4.614257813
8,62.17589239,8.816989174,30,7.547387695,-1.973876953,6.529345703,-0.288391113,-10.4888916,-4.806518555
9,60.0932223,8.882805972,30,7.501330566,-0.416906738,6.651965332,-4.528808594,-30.94329834,-5.393981934
10,47.85461044,8.937068054,30,8.09588623,2.954833984,6.218310547,-7.88269043,-26.90582275,-3.450012207
11,58.73597663,9.009998968,30,6.370239258,-0.368457031,6.745275879,52.22015381,11.1831665,-3.524780273
12,55.06205299,9.058991497,30,7.316503906,-1.509716797,6.506616211,13.84277344,-1.805114746,-8.52355957
13,54.96844984,9.133042724,30,6.442016602,-0.657958984,7.74597168,25.3036499,2.029418945,-8.395385742
14,54.82804511,9.195271588,30,6.641796875,-0.57421875,6.641796875,22.59063721,0.352478027,-12.35809326
15,58.57217111,9.251684558,30,8.357873535,-1.491174316,5.69074707,8.171081543,4.806518555,-9.004211426
16,58.033953,9.302155337,30,6.934289551,0.527563477,6.228479004,-33.0368042,-3.749084473,-18.96972656
17,57.16812386,9.352934818,30,7.114929199,-0.72076416,6.748266602,-16.41693115,-26.60675049,-12.18719482
18,59.08698844,9.384829594,30,6.441418457,-2.003186035,7.10715332,19.93103027,15.49835205,3.204345703
19,59.92941679,9.416846156,30,7.278222656,-1.504931641,7.261474609,-1.420593262,-23.16741943,2.809143066
20,62.62050735,9.423264124,30,6.940869141,-3.061901855,6.741687012,7.305908203,5.201721191,-4.058837891
21,48.32262619,9.468327134,30,6.509606934,-0.000598145,7.157995605,6.29119873,-14.05639648,-7.775878906
22,56.09168764,9.546139601,30,7.201062012,-0.700427246,4.947253418,-12.58239746,-10.10437012,-9.538269043
23,59.48480183,9.585313547,30,8.64498291,-1.31472168,6.598132324,10.21118164,44.4229126,28.04870605
24,56.18529079,9.651002899,30,3.256298828,-1.916455078,8.394360352,68.81866455,-113.5940552,-8.277893066
25,44.929512,9.710552941,30,4.08293457,-0.557470703,9.185705566,11.59973145,-27.33306885,-12.46490479
26,48.18222146,9.770512901,30,5.770898438,0.244641113,6.308032227,65.68908691,8.149719238,-14.39819336
27,49.63307029,9.810715334,30,6.624450684,-1.678393555,7.677185059,-47.44567871,-35.71777344,-3.546142578
28,63.36933255,9.830885602,30,7.118518066,-2.076757813,6.456970215,-9.880065918,-14.52636719,-0.170898438
