seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec)
0,34.37575684,7.257182828,30,8.890820313,-0.592163086,3.407629395,22.82562256,12.37945557,-4.817199707
1,33.06531274,7.285864613,30,9.002075195,-0.133984375,3.670214844,5.853271484,-7.51953125,-8.843994141
2,29.85940485,7.343623203,30,7.293774414,-1.859631348,4.65177002,-11.93084717,7.583618164,-0.053405762
3,27.82353634,7.377560493,30,7.80279541,-2.917749023,6.32298584,-24.33166504,15.82946777,21.45843506
4,30.7018332,7.406794067,30,7.430151367,-0.800317383,4.432849121,63.09356689,-21.88568115,-35.57891846
5,27.61292925,7.426357524,30,7.474414063,-0.550292969,4.24263916,4.251098633,-70.59173584,-44.95697021
6,31.66126549,7.470593998,30,9.087609863,0.470141602,2.984741211,20.47576904,-5.158996582,-10.9375
7,28.29155209,7.500254021,30,7.4265625,-1.740600586,3.168969727,-56.25762939,104.750061,49.29351807
8,33.58013006,7.540012314,30,7.251904297,-3.153417969,5.603417969,30.78308105,30.95397949,-24.26757813
9,31.96547573,7.559982559,30,8.454772949,-3.441125488,5.443115234,4.817199707,-17.62390137,5.180358887
10,32.64409856,7.605138854,30,7.544995117,-2.982946777,5.209240723,8.171081543,-6.953430176,-8.683776855
11,28.61916311,7.640475207,30,8.256188965,-1.418200684,5.55736084,9.837341309,-11.62109375,-10.52093506
12,37.60506551,7.650605986,30,9.332849121,0.904992676,0.158508301,10.68115234,-65.59295654,-0.630187988
13,20.54589143,7.732210607,30,8.442211914,0.035290527,3.520080566,15.81878662,11.57836914,-14.20593262
14,20.49908985,7.788893882,30,8.814855957,0.932507324,4.583581543,9.121704102,-25.93383789,-7.765197754
15,25.69406468,7.830417617,30,8.875268555,-0.328979492,2.982348633,0.096130371,-6.109619141,-0.064086914
16,27.75333398,7.861727007,30,9.305932617,-0.14654541,4.49206543,18.08319092,-67.54760742,-3.247070313
17,29.46159146,7.882679624,30,8.716760254,0.363671875,2.904589844,0.587463379,18.40362549,15.65856934
18,39.61753324,7.898436062,30,9.181518555,0.151330566,2.207751465,23.95782471,-25.88043213,-32.66296387
19,36.71583559,7.924776992,30,9.472814941,0.360083008,2.370446777,6.109619141,-2.648925781,-4.219055176
20,33.01851116,7.961823355,30,8.908166504,-0.436645508,3.394470215,-1.057434082,2.787780762,1.068115234
21,32.31648754,7.983081621,30,8.622851563,-0.908581543,3.357983398,-31.61621094,40.72723389,30.63354492
22,42.63623483,8.015090794,30,8.985925293,-0.587976074,2.296276855,18.9163208,4.304504395,-14.99633789
23,41.09178285,8.041877157,30,9.52545166,-0.660949707,2.449401855,10.9161377,-6.536865234,-3.567504883
24,28.33835366,8.074155838,30,7.211230469,-1.458276367,3.309533691,20.7321167,14.85748291,-7.914733887
25,25.34305286,8.090350622,30,7.118518066,-2.675500488,5.599230957,-9.89074707,-8.683776855,-11.05499268
26,30.30401981,8.122851496,30,7.885339355,-1.885351563,4.593151855,31.07147217,-56.49261475,-4.827880859
27,14.39148431,8.166417857,30,7.558154297,-1.153820801,6.349902344,5.628967285,-9.38873291,-8.534240723
28,13.64265911,8.193782047,30,7.517480469,-0.6890625,5.904284668,3.855895996,-6.130981445,-7.284545898
29,17.90160244,8.23226754,30,7.424169922,-4.013549805,4.272546387,-23.70147705,21.51184082,6.365966797
30,40.74077104,8.282051575,30,7.901489258,-1.769909668,6.392370605,60.83984375,-2.275085449,-13.23394775
