seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec),,
0,44.69550413,3.37849468,30,8.678479004,-2.25859375,4.386193848,17.89093018,-14.15252686,-19.68536377,,
1,30.11681351,3.420560082,30,8.634216309,-1.540222168,4.524963379,18.70269775,-2.926635742,-9.70916748,,
2,45.91234508,3.529971263,30,8.174841309,-3.526062012,3.795825195,-17.57049561,-18.72406006,2.360534668,,
3,31.73146785,3.624248833,30,10.02490234,-2.400354004,4.081140137,15.20996094,-6.387329102,-13.19122314,,
4,22.69876388,3.724115184,30,9.477001953,-0.132189941,3.633129883,5.319213867,-3.855895996,-1.612854004,,
5,24.94523948,3.814879078,30,8.967382813,0.017346191,3.902294922,1.655578613,-3.973388672,-8.331298828,,
6,24.38362058,3.888781885,30,9.084619141,-0.447412109,3.88614502,6.301879883,-5.500793457,-5.906677246,,
7,35.80320488,3.944357186,30,9.143835449,-1.329077148,4.498046875,-32.52410889,11.93084717,12.43286133,,
8,47.78440808,4.005580022,30,7.886535645,-2.210144043,5.204455566,-2.510070801,-1.890563965,-6.077575684,,
9,45.18692066,4.086841526,30,7.826123047,-1.963708496,5.342626953,50.63934326,-31.84051514,4.742431641,,
10,23.04977569,4.146227161,30,8.089904785,-0.65736084,5.368347168,10.92681885,-8.598327637,-15.14587402,,
11,22.72216466,4.223910863,30,8.233459473,-0.236865234,5.356982422,6.932067871,-6.942749023,-5.810546875,,
12,33.11211431,4.303512658,30,8.28190918,-0.882861328,6.104064941,-6.910705566,46.85821533,-5.351257324,,
13,48.53323328,4.367066681,30,6.666918945,-1.216027832,6.962402344,-8.609008789,-6.590270996,-0.82244873,,
14,25.01544184,4.426615695,30,7.96907959,-0.827233887,6.139355469,38.85803223,-21.13800049,-8.288574219,,
15,22.02014104,4.492538013,30,8.213720703,0.145349121,5.548388672,2.18963623,-6.718444824,-8.032226563,,
16,24.78143396,4.554306079,30,8.508007813,-0.968994141,4.429858398,34.89532471,3.492736816,-11.54632568,,
17,25.36645365,4.603407337,30,9.066674805,0.145947266,3.392077637,29.76837158,12.40081787,-9.24987793,,
18,25.41325523,4.664342092,30,9.061291504,-0.086132813,4.004577637,6.216430664,-7.733154297,-9.153747559,,
19,23.89220404,4.712132897,30,9.082824707,0.21114502,3.850256348,6.088256836,-6.65435791,-5.799865723,,
20,24.99204105,4.766284126,30,9.125891113,-0.000598145,3.823937988,2.830505371,-6.430053711,-2.766418457,,
21,41.02158049,4.803789415,30,9.020019531,-0.870300293,3.68815918,-8.128356934,-1.260375977,4.774475098,,
22,41.88740963,4.856337182,30,8.991308594,-1.748376465,3.509313965,0.534057617,-8.096313477,-2.018737793,,
23,31.05284501,4.90663201,30,8.963195801,-2.126403809,3.800610352,12.48626709,-2.862548828,-8.619689941,,
24,26.98110799,4.948543435,30,8.450585938,-0.499450684,5.17454834,13.52233887,4.42199707,-9.153747559,,
25,33.62693164,5.012255148,30,8.884240723,-0.986938477,5.020825195,-21.80023193,-5.28717041,18.37158203,,
26,25.76426704,5.058391952,30,8.331555176,-0.834411621,5.849853516,26.30767822,11.97357178,-9.794616699,,
27,31.56766234,5.111322004,30,6.99888916,-1.032397461,6.855932617,-34.88464355,-5.596923828,-1.22833252,,
28,31.31025368,5.168118205,30,7.22199707,-1.521679688,5.873779297,15.94696045,-15.70129395,-8.288574219,,
